"ID";"LAND";"X";"Y";"amp.max";"pathlength2";"baker2";"fdc.slope_0_0.1";"fdc.slope_0.3_0.7";"fdc.slope_0.8_1";"peakts.avg";"peakts.cv";"rise.avg";"fall.avg";"rise.cv";"fall.cv";"BFI";"fvi.cvdry";"fvi.cvwet";"gwpc.tdur";"gwpc.tdur.cv";"gwpc.tris";"gwpc.tris.cv";"gwpc.trec";"gwpc.trec.cv";"meanann.min";"meanann.max";"peakbasetime.avg";"peakbasetime.cv";"reces.const";"recov.const";"reversals.avg";"reversals.cv";"sqr.avg";"sqr.cv";"intannfluc.s";"intannfluc.y";"BFS";"l1";"l2";"l3";"l4";"bimodality";"colwells.C";"colwells.M";"colwells.P";"cvmon.min";"cvmon.max";"dip";"fdc.range_0.1_0.9";"fdc.range_0.2_0.8";"fdc.range_0.25_0.75";"median";"parde.seasonality";"pulse.count.low";"pulse.count.high";"pulse.dur.low";"pulse.dur.high";"pulse.cv.low";"pulse.cv.high";"silverman";"varjulday.min";"varjulday.max";"autocorrelation";"nonlinear";"Hurst";"Lyapunov"
"1131802900062";"BY";10.5488901;47.9594843256;6.73138142857135;1.00003754576788;5.86137981653794;0.877272252762438;2.41761384238441;0.461569086082153;0.422828231072437;0.644519437323413;0.00593837688776543;-0.00247570488467327;2.56273288115924;-0.616111792155165;0.990110767628008;0.208559371169489;0.0404845052975305;0.0595208589924076;0.462380606808332;0.313614299291399;0.694539548423783;0.0894587045188562;0.625039139691563;0.332001723164026;1.63943194656358;0.00310500996959214;1.55396588531226;-0.0018;0.009;22;0.515262911307029;0.283529883615399;1.51950824597391;0.406703875987303;0.550116119234283;0.456296806928292;0.380748521137552;0.116740001993118;0.0155806212169123;0.0142882455192739;0.477781202367318;0.09;0.19;0.28;0.566933868975739;0.532502257113869;0.0128113348031822;5.95710113671648;2.56020922344013;2.10837372898416;0.347514318330328;0.412613953807774;1.00168287210172;1.27486910994764;0.935455905351193;2.97903087936745;0.347433532019576;0.424264068711929;0.044895;88.2629608467858;61.042192634286;0.997630486193691;0.0278513810909286;0.999576641735376;0.508805420410555
"1131802900064";"BY";10.6162563727;47.9291932916;0.932710000000043;1.00027122610887;16.8657353303796;0.3836038161606;2.67582883066389;0.451251142114746;0.432040381352779;0.337057855057151;0.0180529616645953;-0.00873550102556351;2.1028448158693;-1.26801626249548;0.973433908403428;0.194582656445402;0.0739495936375954;0.069614787211618;0.628890806283103;0.272343088545;0.654110567524069;0.0939907554030054;0.457560862012066;0.426346800593432;1.81657548525598;0.00682828408662995;0.822367534161118;-0.019;0.057;58;0.254273813857804;0.305429856305601;1.89907074345599;0.463324542849265;0.335502388702974;0.209139276574284;0.449241437843366;0.0838475990827262;-0.0111496037620011;0.00807337293690269;0.399908713049325;0.22;0.2;0.41;0.384434557081717;0.284155676682417;0.00740790215053344;2.61979916227291;1.84756063756797;1.64110852237892;0.481503430700189;0.584162550176058;1.45699326851159;2.00336574420344;0.631743175018699;1.88746855239002;0.370328039909021;0.608675702744172;0.033355;31.1497667904484;98.5907197953246;0.887052048226089;0.265601916276577;0.999081023078858;0.990503527755127
"1131802900071";"BY";10.619335884;47.928645688;1.37938285714279;1.00025834106054;22.3223154022419;1.30210275193823;1.59722614539473;0.415812112270557;0.318163331355559;0.702687974799274;0.0210640134754193;-0.00867392186097014;1.54720691338688;-0.798170143417873;0.964796860216473;0.193464442675056;0.247413324721025;0.0493910863820852;0.0331993010579424;0.258472615239563;0.702349362696734;0.0981984359341203;0.372367797574948;0.096795167741521;2.54684321997173;0.00887981344324615;1.04965462544983;-0.021;0.037;31.2;0.126997517667686;2.38061430527564;2.10746176014445;0.697587123890227;0.261897832847301;0.159709051311175;0.352365906362299;0.110736572872295;0.0169288293892802;0.00197894778125152;0.53957331689764;0.1;0.21;0.31;0.590441702895341;0.535186744059173;0.0118866739319414;5.93849569731146;3.30284373174602;2.44200233941471;0.302657088884453;0.815745875969816;1.63911742707554;2.09442782348542;0.566608493310064;1.79352703977106;0.435395407644284;0.33415536499674;0.046956;16.6422786601857;69.5999309523639;0.77082594598299;0.119239867759575;0.998911087801747;0.989357925911827
"1131802900072";"BY";10.6573720145;47.9384964644;2.70145571428577;1.00002061687989;6.51902172819453;0.755277128063021;1.32613214483699;0.542103071977074;0.370283798525795;0.64540710603438;0.0053334026078804;-0.00283627518195365;1.55075670749169;-0.764424849674878;0.998071687394462;0.112969608785865;0.0858959331557746;0.0536144881703255;0.339252127655568;0.403868834857592;0.600219185901417;0.0743849803947789;0.690663734253208;0.342982441989426;1.72689844433988;0.00257441219911947;1.14685014970346;-0.0037;0.0057;14.2;0.718861980573231;0.762072670525642;1.98338068497099;0.538321958433595;0.510857285586938;0.407532320520276;0.409041662988392;0.119235716429327;0.00948258071858343;0.00940677847073568;0.425252263818167;0.07;0.21;0.28;0.566596653660102;0.516648468505869;0.0181668756629686;5.5925191152005;2.503001629291;2.05495145999689;0.390841128513239;0.511249485583671;0.819558713537771;1.27486910994764;1.16357101304745;2.9660220108986;0.557773351022717;0.3;0.064943;88.5564385215934;50.6586705690161;0.99203434930723;0.0047041558582272;0.999576570497181;0.971741966577546
"1131803000044";"BY";10.6812222735;47.979699679;3.00445714285718;1.00001137965111;5.18931506849301;0.941972882297984;1.57945065526428;0.480596821236894;0.403804521467472;0.460142303216964;0.0037270921637282;-0.00252188064636001;1.54264206394427;-0.704532756202661;0.994788884463719;0.102839019787151;0.0617605453409005;0.0506930084744263;0.201882527326312;0.314847047177532;0.68673139868762;0.0861180166821297;0.494715606042132;0.330588972136279;1.59992721791386;0.00166627820876088;0.898828430408333;-0.00049;8.6e-05;22.2;0.402138993165147;35.1811110577576;5.19300338015075;0.55396055153843;0.432830746700139;0.468944580088021;0.437454638822325;0.120497481112145;0.00351577524347779;0.0077199429583148;0.41002445995725;0.07;0.2;0.26;0.535048109403892;0.466266982231107;0.0157566915716707;4.91034779100402;2.70751845589135;2.18406986646379;0.434953782951042;0.473422125978058;0.819558713537771;1.63911742707554;1.14333499542924;2.30690600847669;0.500688231571464;0.455194701272414;0.064719;83.0146364775575;48.1453286193827;0.992298849803598;0.00571291446892974;0.999552006381786;0.973482772492902
"1131803400029";"BY";11.3909813927;47.9915925573;1.48638428571439;1.0000433906949;12.0690306651383;1.04056891474482;1.6501856569213;0.446123838519013;0.291518818409255;0.685849640738734;0.00808285520544513;-0.00604718387686396;0.894690359645835;-0.966202180245467;0.981770499895545;0.112785756275276;0.101393618617291;0.0515416359938796;0.393407740189285;0.351772993844359;0.484319568342142;0.0787355924752236;0.439602021440391;0.238847700967386;2.14289621917905;0.00540859782170854;0.653851853161655;-0.00043;0.004;102.6;0.141510264427926;0.410447608461983;3.75003115964417;0.529150359553727;0.450238466178871;0.257045882201708;0.328085160452839;0.106603214708832;0.0179961391738206;0.0103774311859883;0.502618922942503;0.14;0.2;0.34;0.608847296492101;0.549003300383663;0.0178638166694892;5.03115835513953;3.13872936869853;2.49771744683587;0.287733224151804;0.847357221406956;1.18587662337662;1.82442557442557;0.806957465611312;2.07528409090909;0.371573762722806;0.316227766016838;0.062512;64.1926002611596;32.623999679744;0.97825691863795;0.0105886969258302;0.999496778867943;0.980433359187652
"1131803400032";"BY";11.3790149327;47.9726396563;2.22614999999996;1.0000388881058;11.9819598859025;0.530874174623585;1.44942995277828;0.615937309647531;0.48766957929758;0.441056887822568;0.00753610938211318;-0.00594030595277729;0.878302612137769;-0.85736424574254;0.983301373663452;0.13797717157012;0.0905886319600952;0.0493088323182676;0.177900626326268;0.373798560862457;0.461402454989235;0.0748916909583763;0.470767021858851;0.262229162528003;1.7139264818797;0.00516447479788081;0.596479576092707;-0.002;3.1e-05;110.6;0.0966647179812231;0.148757578708878;3.37838527497317;0.585450863691768;0.377828223466379;0.24836341735989;0.487162348648086;0.112021898608637;0.00490335994722457;0.0136971260871452;0.378031329853863;0.09;0.2;0.29;0.429173498850375;0.37637456853788;0.0072553256821274;3.14374239770178;2.04870427401159;1.76265691358781;0.474308226509716;0.434762970100226;1.2770979020979;1.91564685314685;0.749317646639075;1.98080490937634;0.404061017820884;0.316227766016838;0.035048;68.1973405807071;43.075355520236;0.983976658233884;0.00225318931118842;0.999504178595026;0.982206510682592
"1131803400036";"BY";11.441854146;47.9337452351;1.60530000000006;1.0005906999766;35.4130069145932;0.503827796246789;2.79623739967851;0.395486441272987;0.395707336460537;0.320383048717949;0.0261126170004322;-0.0156991600960108;1.547380978345;-1.09131518606895;0.92956324644657;0.318975817305522;0.153220056828978;0.048915505698948;0.0850595426732479;0.30930269821049;0.465775980752211;0.0883242467626571;0.331699387790408;0.298891658978222;2.13884594017507;0.0135983023498658;0.876501146348181;-0.046;0.071;106.4;0.133014457245803;0.367226930478975;2.36321436110467;0.531569770699543;0.470075906144028;0.217322856577767;0.446372322550905;0.107922142844419;-0.00803012347833887;0.00840087723772154;0.429347660342879;0.12;0.32;0.44;0.463069131311888;0.37184659939157;0.0118767027443633;3.92859076756403;2.26910530207495;1.93268901487748;0.471967791800322;0.871377201816419;1.13785046728972;1.62550066755674;1.39328628647721;4.09626168224299;0.536286589227368;0.58554004376912;0.039111;87.38908432966;14.6710296540874;0.918463475025338;0.172352781193208;0.997433403948505;0.987302485245365
"1131804000015";"BY";12.3751610521;47.9687585463;1.97254142857139;1.00009194586923;10.4203062431885;1.3672453639847;2.8429894737165;0.312802076428208;0.235360834489523;0.504951690802684;0.00970482388723159;-0.00426095152391623;2.23421585978073;-0.823568426352544;0.981304905184593;0.2162696753688;0.141179242929885;0.0527171011070218;0.354456545148019;0.31629709106869;0.69290275041957;0.0859113530277853;0.518821978750878;0.29471943398864;2.40974291962631;0.00386031346297002;1.70899301945425;-0.016;0.047;45.8;0.151585632818426;0.687328715761939;3.05406780681448;0.416371791521987;0.359994497738295;0.187705637263732;0.41568735254452;0.0662683317897608;0.0080203488295143;0.00802658575025461;0.352640757966602;0.29;0.12;0.41;0.281372037144503;0.311221371263766;0.0084944370736962;2.1237148495796;1.59655417906017;1.45525381927641;0.39698460072176;0.275993608111939;1.36593118922962;2.00336574420344;0.686000997257542;1.89160773781193;0.484278001381509;0.358550289884825;0.03563;83.3082654510718;60.3683095958343;0.851774455684113;0.181085027398479;0.999081023078858;0.987758690997587
"1131804000019";"BY";12.4321845612;47.9807009409;2.19294428571436;1.00001171582655;4.5948028089721;0.687913191328088;3.13825752342907;0.418801304083273;0.343466364532111;0.516655252520179;0.00418131641010853;-0.00188552621250364;1.77094922231686;-0.593947356396417;0.992224270077293;0.129767738016163;0.0583881736439444;0.0489429910988389;0.105080927439647;0.281408943878043;0.808684610242885;0.0936563419309726;0.489303715170396;0.512331317149053;1.53265235211266;0.00173736727123142;1.33375240384364;-0.002;0.01;40.8;0.33935237527101;0.198572204566665;2.28318376075235;0.277883794688004;0.677406087879663;0.616791253311286;0.447131186873453;0.0968814360830071;-0.000416659754014725;0.0195353368947146;0.285620296795014;0.16;0.15;0.31;0.397486730821479;0.384668575146851;0.00994560239926601;3.62764442813019;1.79331139024005;1.48689533362484;0.447717387126637;0.203119940042064;0.546372475691847;1.36593118922962;1.73017950635752;2.77435801545749;0.391230398217976;0.424264068711929;0.049921;87.9995448828176;89.1221864923869;0.997847497744693;0.0218539910867279;0.999633431282071;0.954378396417498
